epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.64499,1.07339,4.78611,1.519,0,0,0,0,1.75608,5.3813,1.57503,0,0,0
2,12.8434,1.1756,4.84081,1.57415,0,0,0,0,1.75267,5.3907,1.58018,1.17822e-06,1.17822e-06,1.17822e-06
3,18.9644,1.0712,4.8747,1.59527,0,0,0,0,1.74532,5.41516,1.58312,2.33288e-06,2.33288e-06,2.33288e-06
4,25.7397,1.37864,4.7967,1.86706,0,0,0,0,1.75777,5.44038,1.57083,3.46397e-06,3.46397e-06,3.46397e-06
5,31.462,1.26325,4.97482,1.70342,0,0,0,0,1.76768,5.44978,1.57733,4.5715e-06,4.5715e-06,4.5715e-06
6,37.126,1.1295,4.93114,1.54459,0,0,0,0,1.77694,5.45674,1.57322,5.65548e-06,5.65548e-06,5.65548e-06
7,42.744,1.32664,5.03869,1.5695,0,0,0,0,1.77146,5.45601,1.57049,6.71588e-06,6.71588e-06,6.71588e-06
8,48.3283,0.88842,4.78093,1.3586,0,0,0,0,1.74461,5.46425,1.5545,7.75273e-06,7.75273e-06,7.75273e-06
9,54.0088,1.16157,4.79908,1.55745,0,0,0,0,1.71201,5.46425,1.54928,8.76602e-06,8.76602e-06,8.76602e-06
10,63.0554,1.319,5.00735,1.52,0,0,0,0,1.69252,5.46737,1.54551,9.75574e-06,9.75574e-06,9.75574e-06
11,68.4334,1.26887,4.96534,1.66042,0,0,0,0,1.67768,5.47399,1.5408,1.07219e-05,1.07219e-05,1.07219e-05
12,73.7327,1.0501,4.95935,1.5217,0,0,0,0,1.64645,5.46757,1.54037,1.16645e-05,1.16645e-05,1.16645e-05
13,78.8777,1.26656,5.08049,1.72575,0,0,0,0,1.6376,5.46696,1.54724,1.25835e-05,1.25835e-05,1.25835e-05
14,84.068,1.29998,4.99166,1.66276,0,0,0,0,1.63681,5.46012,1.54981,1.3479e-05,1.3479e-05,1.3479e-05
15,89.3086,1.09736,4.92537,1.5277,0,0,0,0,1.64437,5.45269,1.55314,1.43509e-05,1.43509e-05,1.43509e-05
16,94.4896,0.83199,4.80805,1.52265,0,0,0,0,1.64358,5.46613,1.55775,1.51993e-05,1.51993e-05,1.51993e-05
17,99.7389,1.00421,4.84023,1.48953,0,0,0,0,1.64843,5.47846,1.55351,1.60241e-05,1.60241e-05,1.60241e-05
18,104.937,1.22787,4.87231,1.5236,0,0,0,0,1.64843,5.47846,1.55351,1.68253e-05,1.68253e-05,1.68253e-05
19,113.411,1.22071,4.85138,1.53127,0,0,0,0,1.66805,5.47841,1.55317,1.7603e-05,1.7603e-05,1.7603e-05
20,118.633,1.02271,4.94212,1.36774,0,0,0,0,1.66805,5.47841,1.55317,1.83571e-05,1.83571e-05,1.83571e-05
21,126.354,1.01885,4.81226,1.56467,0,0,0,0,1.66495,5.47653,1.55125,1.90876e-05,1.90876e-05,1.90876e-05
22,131.875,0.72215,4.79446,1.35888,0,0,0,0,1.66495,5.47653,1.55125,1.97946e-05,1.97946e-05,1.97946e-05
23,137.509,1.18171,4.91632,1.51707,0,0,0,0,1.64983,5.47927,1.55433,2.0478e-05,2.0478e-05,2.0478e-05
24,144.779,0.97407,4.79138,1.43609,0,0,0,0,1.64983,5.47927,1.55433,2.11379e-05,2.11379e-05,2.11379e-05
25,151.199,0.87222,4.72289,1.35795,0,0,0,0,1.68004,5.48141,1.56394,2.17741e-05,2.17741e-05,2.17741e-05
26,158.214,0.99122,4.86834,1.52347,0,0,0,0,1.68004,5.48141,1.56394,2.23869e-05,2.23869e-05,2.23869e-05
27,166.883,1.02041,4.80578,1.42609,0,0,0,0,1.67664,5.48408,1.57345,2.2976e-05,2.2976e-05,2.2976e-05
28,172.088,1.01009,4.82082,1.46315,0,0,0,0,1.67664,5.48408,1.57345,2.35417e-05,2.35417e-05,2.35417e-05
29,177.614,1.44172,5.03762,1.68378,0,0,0,0,1.68856,5.48762,1.58462,2.40837e-05,2.40837e-05,2.40837e-05
30,182.843,1.05481,4.69321,1.39823,0,0,0,0,1.68856,5.48762,1.58462,2.46022e-05,2.46022e-05,2.46022e-05
31,188.104,1.07046,4.81269,1.48782,0,0,0,0,1.69301,5.48315,1.5885,2.50971e-05,2.50971e-05,2.50971e-05
32,194.756,1.19193,4.87128,1.44682,0,0,0,0,1.69301,5.48315,1.5885,2.55685e-05,2.55685e-05,2.55685e-05
33,200.544,1.09822,4.74243,1.52065,0,0,0,0,1.69305,5.48345,1.58281,2.60163e-05,2.60163e-05,2.60163e-05
34,205.799,0.88179,4.6271,1.37154,0,0,0,0,1.69305,5.48345,1.58281,2.64405e-05,2.64405e-05,2.64405e-05
35,212.116,0.98261,4.84702,1.38491,0,0,0,0,1.69707,5.48301,1.5791,2.68412e-05,2.68412e-05,2.68412e-05
36,219.027,0.90458,4.74951,1.34586,0,0,0,0,1.69707,5.48301,1.5791,2.72183e-05,2.72183e-05,2.72183e-05
37,224.295,1.09034,4.94093,1.68524,0,0,0,0,1.70599,5.48863,1.58074,2.75718e-05,2.75718e-05,2.75718e-05
38,229.822,0.91559,4.76944,1.4077,0,0,0,0,1.70599,5.48863,1.58074,2.79018e-05,2.79018e-05,2.79018e-05
39,235.129,0.82586,4.57472,1.31726,0,0,0,0,1.70907,5.48934,1.58487,2.82082e-05,2.82082e-05,2.82082e-05
40,240.228,0.91877,4.93082,1.33097,0,0,0,0,1.70907,5.48934,1.58487,2.84911e-05,2.84911e-05,2.84911e-05
41,246.061,0.87784,4.6511,1.24464,0,0,0,0,1.67619,5.49177,1.57989,2.87504e-05,2.87504e-05,2.87504e-05
42,251.275,0.87534,4.72156,1.36143,0,0,0,0,1.67619,5.49177,1.57989,2.89861e-05,2.89861e-05,2.89861e-05
43,256.474,0.51681,4.50644,1.18188,0,0,0,0,1.65195,5.48412,1.56826,2.91983e-05,2.91983e-05,2.91983e-05
44,261.967,0.89867,4.73468,1.38596,0,0,0,0,1.65195,5.48412,1.56826,2.93869e-05,2.93869e-05,2.93869e-05
45,267.228,0.82127,4.53006,1.30934,0,0,0,0,1.62551,5.48707,1.55577,2.9552e-05,2.9552e-05,2.9552e-05
46,272.378,1.00852,4.62005,1.47123,0,0,0,0,1.62551,5.48707,1.55577,2.96935e-05,2.96935e-05,2.96935e-05
