epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
47,278.536,1.01049,4.686,1.32232,0,0,0,0,1.60478,5.48694,1.55472,2.98114e-05,2.98114e-05,2.98114e-05
48,283.843,0.84581,4.66347,1.28328,0,0,0,0,1.60478,5.48694,1.55472,2.99058e-05,2.99058e-05,2.99058e-05
49,289.094,1.02185,4.82246,1.44191,0,0,0,0,1.61101,5.47698,1.55409,2.99766e-05,2.99766e-05,2.99766e-05
50,294.95,0.97117,4.75359,1.38986,0,0,0,0,1.61101,5.47698,1.55409,3.00238e-05,3.00238e-05,3.00238e-05
51,300.224,0.84559,4.53769,1.30332,0,0,0,0,1.61308,5.46981,1.55134,3.00475e-05,3.00475e-05,3.00475e-05
52,305.55,0.92247,4.78567,1.29606,0,0,0,0,1.61308,5.46981,1.55134,3.00476e-05,3.00476e-05,3.00476e-05
53,311.069,0.69938,4.4164,1.20713,0,0,0,0,1.61308,5.46981,1.55134,3.00242e-05,3.00242e-05,3.00242e-05
54,316.383,0.85316,4.60008,1.3163,0,0,0,0,1.64815,5.46159,1.58854,2.99772e-05,2.99772e-05,2.99772e-05
55,321.66,0.82766,4.6816,1.17993,0,0,0,0,1.64815,5.46159,1.58854,2.99066e-05,2.99066e-05,2.99066e-05
56,327.366,0.89431,4.6632,1.23295,0,0,0,0,1.64815,5.46159,1.58854,2.98125e-05,2.98125e-05,2.98125e-05
57,332.75,0.72013,4.60719,1.17177,0,0,0,0,1.6322,5.45921,1.58295,2.96948e-05,2.96948e-05,2.96948e-05
58,338.03,0.9415,4.55922,1.38816,0,0,0,0,1.6322,5.45921,1.58295,2.95535e-05,2.95535e-05,2.95535e-05
59,343.924,1.09279,4.62109,1.58287,0,0,0,0,1.6322,5.45921,1.58295,2.93887e-05,2.93887e-05,2.93887e-05
60,349.174,0.85683,4.60696,1.34185,0,0,0,0,1.63578,5.45921,1.58285,2.92003e-05,2.92003e-05,2.92003e-05
61,354.521,0.70877,4.55928,1.18216,0,0,0,0,1.63578,5.45921,1.58285,2.89884e-05,2.89884e-05,2.89884e-05
62,360.605,0.76447,4.48317,1.24628,0,0,0,0,1.63578,5.45921,1.58285,2.87529e-05,2.87529e-05,2.87529e-05
63,366.083,0.91029,4.44422,1.37334,0,0,0,0,1.63116,5.45253,1.58743,2.84938e-05,2.84938e-05,2.84938e-05
64,371.344,0.89348,4.48952,1.25534,0,0,0,0,1.63116,5.45253,1.58743,2.82112e-05,2.82112e-05,2.82112e-05
65,376.736,0.99677,4.57585,1.29713,0,0,0,0,1.63116,5.45253,1.58743,2.7905e-05,2.7905e-05,2.7905e-05
66,382.081,0.78713,4.37583,1.29343,0,0,0,0,1.62401,5.44751,1.58633,2.75753e-05,2.75753e-05,2.75753e-05
67,387.41,0.86456,4.51281,1.20848,0,0,0,0,1.62401,5.44751,1.58633,2.7222e-05,2.7222e-05,2.7222e-05
68,392.597,0.99317,4.49851,1.36914,0,0,0,0,1.62401,5.44751,1.58633,2.68451e-05,2.68451e-05,2.68451e-05
69,397.879,0.8673,4.61021,1.30707,0,0,0,0,1.63718,5.45386,1.58519,2.64447e-05,2.64447e-05,2.64447e-05
70,402.986,1.09618,4.48159,1.46145,0,0,0,0,1.63718,5.45386,1.58519,2.60207e-05,2.60207e-05,2.60207e-05
71,411.666,0.9855,4.70575,1.32598,0,0,0,0,1.63718,5.45386,1.58519,2.55731e-05,2.55731e-05,2.55731e-05
72,416.86,0.8229,4.5432,1.18923,0,0,0,0,1.61841,5.46277,1.58491,2.5102e-05,2.5102e-05,2.5102e-05
73,422.048,0.79331,4.36093,1.24849,0,0,0,0,1.61841,5.46277,1.58491,2.46073e-05,2.46073e-05,2.46073e-05
74,427.243,0.95323,4.55243,1.31192,0,0,0,0,1.61841,5.46277,1.58491,2.40891e-05,2.40891e-05,2.40891e-05
75,432.653,0.74121,4.325,1.2818,0,0,0,0,1.62989,5.46307,1.58955,2.35472e-05,2.35472e-05,2.35472e-05
76,437.953,0.84175,4.46201,1.21416,0,0,0,0,1.62989,5.46307,1.58955,2.29819e-05,2.29819e-05,2.29819e-05
77,443.126,0.79648,4.4442,1.26794,0,0,0,0,1.62989,5.46307,1.58955,2.23929e-05,2.23929e-05,2.23929e-05
78,448.458,0.98926,4.54732,1.35712,0,0,0,0,1.63054,5.45788,1.59022,2.17805e-05,2.17805e-05,2.17805e-05
79,453.659,0.68276,4.29544,1.11995,0,0,0,0,1.63054,5.45788,1.59022,2.11444e-05,2.11444e-05,2.11444e-05
80,461.525,1.00139,4.55312,1.27731,0,0,0,0,1.63054,5.45788,1.59022,2.04848e-05,2.04848e-05,2.04848e-05
81,466.746,0.82716,4.19544,1.28299,0,0,0,0,1.62794,5.45367,1.58637,1.98016e-05,1.98016e-05,1.98016e-05
82,471.96,0.74727,4.20526,1.16547,0,0,0,0,1.62794,5.45367,1.58637,1.90949e-05,1.90949e-05,1.90949e-05
83,477.113,0.67403,4.17366,1.15186,0,0,0,0,1.62794,5.45367,1.58637,1.83646e-05,1.83646e-05,1.83646e-05
84,482.412,0.58703,4.22303,1.13049,0,0,0,0,1.62759,5.44883,1.58638,1.76107e-05,1.76107e-05,1.76107e-05
85,487.684,0.85744,4.43913,1.27305,0,0,0,0,1.62759,5.44883,1.58638,1.68333e-05,1.68333e-05,1.68333e-05
86,492.933,0.8437,4.38637,1.38493,0,0,0,0,1.62759,5.44883,1.58638,1.60323e-05,1.60323e-05,1.60323e-05
87,498.14,0.80335,4.39436,1.28091,0,0,0,0,1.62759,5.44883,1.58638,1.52077e-05,1.52077e-05,1.52077e-05
88,503.62,0.80221,4.31976,1.23463,0,0,0,0,1.64466,5.45998,1.59308,1.43596e-05,1.43596e-05,1.43596e-05
89,510.149,0.91493,4.43008,1.33952,0,0,0,0,1.64466,5.45998,1.59308,1.34879e-05,1.34879e-05,1.34879e-05
90,515.352,0.79872,4.36228,1.19052,0,0,0,0,1.64466,5.45998,1.59308,1.25927e-05,1.25927e-05,1.25927e-05
91,520.523,0.79629,4.32134,1.24538,0,0,0,0,1.64466,5.45998,1.59308,1.16739e-05,1.16739e-05,1.16739e-05
92,525.882,0.64597,4.19864,1.08474,0,0,0,0,1.64698,5.45011,1.59085,1.07315e-05,1.07315e-05,1.07315e-05
93,531.203,0.92184,4.46085,1.47042,0,0,0,0,1.64698,5.45011,1.59085,9.76562e-06,9.76562e-06,9.76562e-06
94,536.36,0.78926,4.3871,1.19684,0,0,0,0,1.64698,5.45011,1.59085,8.77613e-06,8.77613e-06,8.77613e-06
95,541.5,0.85571,4.55085,1.41595,0,0,0,0,1.64698,5.45011,1.59085,7.76308e-06,7.76308e-06,7.76308e-06
96,546.707,0.82919,4.52997,1.33958,0,0,0,0,1.65379,5.43569,1.57982,6.72648e-06,6.72648e-06,6.72648e-06
97,551.886,0.76732,4.23039,1.19995,0,0,0,0,1.65379,5.43569,1.57982,5.6663e-06,5.6663e-06,5.6663e-06
98,559.514,0.88293,4.4249,1.31057,0,0,0,0,1.65379,5.43569,1.57982,4.58257e-06,4.58257e-06,4.58257e-06
99,564.634,0.74453,4.34987,1.13189,0,0,0,0,1.65379,5.43569,1.57982,3.47528e-06,3.47528e-06,3.47528e-06
100,570.009,0.76417,4.18492,1.19487,0,0,0,0,1.68016,5.42444,1.57349,2.34442e-06,2.34442e-06,2.34442e-06
